epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7491,1.23465,3.85025,1.63868,0.00652,0.89583,0.11014,0.06213,0.91717,4.42205,1.46679,4.284e-05,4.284e-05,4.284e-05
2,118.234,1.18405,3.80197,1.60101,0.00738,0.89583,0.28225,0.19461,0.93322,4.40045,1.45398,9.09822e-05,9.09822e-05,9.09822e-05
3,188.01,1.145,3.71994,1.53856,0.00842,0.89583,0.37115,0.238,0.87105,4.37944,1.46366,0.000137145,0.000137145,0.000137145
4,252.392,1.11797,3.57088,1.52437,0.00882,0.89583,0.44683,0.30333,0.86979,4.34911,1.4961,0.000181329,0.000181329,0.000181329
5,318.54,1.23055,3.41382,1.54819,0.00846,0.85417,0.44659,0.30496,0.94804,4.34991,1.5133,0.000223533,0.000223533,0.000223533
6,368.285,1.23806,3.36705,1.56023,0.00738,0.91667,0.47957,0.31236,0.91942,4.22477,1.48677,0.000263759,0.000263759,0.000263759
7,415.29,1.14796,3.11794,1.54404,0.00712,0.91667,0.50149,0.30826,0.99184,4.16629,1.53076,0.000302005,0.000302005,0.000302005
